Day,Time,Event,Type
1,08:11,System Alarm,Warning
1,08:31,Motor Current Stall,Warning
1,08:49,Motor Overload,Fault
1,13:24,Welder Comm Interrupt,Fault
1,13:29,Arc Loss,Fault
1,14:22,Wire Adhesion,Fault
1,14:24,Arc Loss,Fault
1,15:47,Welder Comm Interrupt,Fault
1,15:53,Arc Loss,Fault
2,08:35,Motor Current Stall,Warning
2,08:56,Motor Overload,Fault
2,09:32,Soft Limit Error,Fault
2,09:33,Coordinate Transform Err,Fault
2,13:28,Soft Limit Error,Fault
2,13:29,Coordinate Transform Err,Fault
2,16:32,Posture Mismatch,Fault
2,16:36,Coordinate Transform Err,Fault
2,16:41,Coordinate Transform Err,Fault
3,08:24,Coordinate Transform Err,Fault
3,09:45,Arc Loss,Fault
3,10:26,Motor Current Stall,Warning
3,10:31,Welder Power Off,Fault
3,10:32,Arc Loss,Fault
3,10:48,Motor Overload,Fault
3,10:55,Arc Loss,Fault
3,11:12,Wire Adhesion,Fault
3,11:15,Arc Loss,Fault
3,11:29,Motor Overload,Fault
3,15:27,Arc Loss,Fault
4,12:26,Wire Adhesion,Fault
4,12:30,Arc Loss,Fault
4,12:42,Arc Loss,Fault
4,13:03,Arc Loss,Fault
4,14:25,Posture Mismatch,Fault
4,14:29,Coordinate Transform Err,Fault
4,14:50,Welder Comm Interrupt,Fault
4,14:55,Arc Loss,Fault
4,14:56,Motor Current Stall,Warning
4,15:15,Motor Overload,Fault
5,08:59,Welder Comm Fault,Fault
5,09:06,Arc Loss,Fault
5,10:51,Motor Current Stall,Warning
5,12:51,Arc Loss,Fault
5,15:16,Soft Limit Error,Fault
5,16:01,Welder Comm Fault,Fault
5,16:03,Motor Overload,Fault
5,16:10,Arc Loss,Fault
6,08:19,Welder Comm Interrupt,Fault
6,08:27,Welder Comm Interrupt,Fault
6,08:32,Arc Loss,Fault
6,10:33,Soft Limit Error,Fault
6,10:42,Welder Comm Interrupt,Fault
6,10:46,Arc Loss,Fault
6,12:31,Welder Power Off,Fault
6,12:32,Arc Loss,Fault
6,13:29,Posture Mismatch,Fault
7,08:22,Singularity Error,Fault
7,08:22,Coordinate Transform Err,Fault
7,09:40,Posture Mismatch,Fault
7,09:44,Coordinate Transform Err,Fault
7,13:19,Singularity Error,Fault
8,10:19,Posture Mismatch,Fault
8,15:53,Coordinate Transform Err,Fault
